PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,%Activity at 18.75 uM_Mean,%Activity at 18.75 uM_1,%Activity at 18.75 uM_2,%Activity at 18.75 uM_3,%Activity at 18.75 uM_4,Value_1,Value_2,Value_3,Value_4,Mean High,STD Deviation High,Mean Low,STD Deviation Low,PUBCHEM_SMILES
82,49666263.0,1477595.0,C1=CC=C(C=C1)S(=O)(=O)C2=NC=C(C=C2)[N+](=O)[O-],Active,30.0,,,65.43,66.49,64.76,62.07,68.41,301.16,316.36,339.94,284.23,0,9.38,100,0.43,C1=CC=C(C=C1)S(=O)(=O)C2=NC=C(C=C2)[N+](=O)[O-]
83,49722023.0,16446092.0,CC1=C(C(=CC=C1)C)NC(=O)C2=NC(=NC=C2Cl)S(=O)(=O)CC3=CC=CC=C3,Active,30.0,,,69.46,55.03,67.79,73.4,81.65,401.86,289.71,240.45,167.96,0,9.38,100,0.43,CC1=C(C(=CC=C1)C)NC(=O)C2=NC(=NC=C2Cl)S(=O)(=O)CC3=CC=CC=C3
84,24804254.0,701939.0,CN1C2=CC=CC=C2C(=C(C1=O)[N+](=O)[O-])Cl,Active,30.0,,,82.8,77.27,89.39,87.33,77.21,206.41,99.91,118.02,206.9,0,9.38,100,0.43,CN1C2=CC=CC=C2C(=C(C1=O)[N+](=O)[O-])Cl
85,14729028.0,3785157.0,CC1=NOC2=C1C(=NC=N2)SC3=C(C=CC=C3Cl)Cl,Inactive,21.0,,,23.05,20.81,21.06,25.59,24.72,702.44,700.33,660.46,668.09,0,9.38,100,0.43,CC1=NOC2=C1C(=NC=N2)SC3=C(C=CC=C3Cl)Cl
86,26727035.0,2801236.0,COC1=NC(=C(C=C1)[N+](=O)[O-])S(=O)(=O)C2=CC=CC=C2,Active,30.0,,,87.57,86.01,88.38,87.25,88.66,129.63,108.8,118.74,106.34,0,9.38,100,0.43,COC1=NC(=C(C=C1)[N+](=O)[O-])S(=O)(=O)C2=CC=CC=C2
87,87335571.0,2585042.0,C1CN(CCN1C(=O)CN2C(=O)C(=C(C=N2)Cl)Cl)S(=O)(=O)C3=CC4=CC=CC=C4C=C3,Active,30.0,,,96.02,85.79,99.09,99.54,99.64,131.51,14.66,10.74,9.87,0,9.38,100,0.43,C1CN(CCN1C(=O)CN2C(=O)C(=C(C=N2)Cl)Cl)S(=O)(=O)C3=CC4=CC=CC=C4C=C3
88,26659330.0,3734233.0,CC1=C(C(=NC(=N1)NC2=CC=C(C=C2)NC(=O)C)N(C)C3=CC=CC=C3)[N+](=O)[O-],Active,30.0,,,91.8,91.89,91.65,91.94,91.71,77.95,80.05,77.49,79.55,0,9.38,100,0.43,CC1=C(C(=NC(=N1)NC2=CC=C(C=C2)NC(=O)C)N(C)C3=CC=CC=C3)[N+](=O)[O-]
89,22404228.0,15944971.0,C1=CC=C(C=C1)C(=O)C2=C3C4=CC=CC5=C4C(=CC=C5)C3=CC6=[N+]2C7=CC=CC=C7S6.[Br-],Active,30.0,,,56.47,46.55,65.91,58.69,54.75,476.35,306.25,369.66,404.28,0,9.38,100,0.43,C1=CC=C(C=C1)C(=O)C2=C3C4=CC=CC5=C4C(=CC=C5)C3=CC6=[N+]2C7=CC=CC=C7S6.[Br-]
90,22411799.0,15945542.0,CC1=C(C(=NC2=CC(=NN12)C3=CC=CC=C3OC)C)CCC(=O)NC(C)C4=CC5=C(C=C4)OCCO5,Active,30.0,,,56.02,53.91,53.56,58.07,58.56,411.7,414.71,375.12,370.83,0,9.38,100,0.43,CC1=C(C(=NC2=CC(=NN12)C3=CC=CC=C3OC)C)CCC(=O)NC(C)C4=CC5=C(C=C4)OCCO5
91,17409322.0,1143231.0,C1=CC=C(C=C1)NC(=S)NC2=CC=C(C=C2)OCC3=C(C=C(C=C3)Cl)Cl,Active,30.0,,,97.92,97.69,98.25,98.03,97.69,27.01,22.06,23.97,27.02,0,9.38,100,0.43,C1=CC=C(C=C1)NC(=S)NC2=CC=C(C=C2)OCC3=C(C=C(C=C3)Cl)Cl
92,7967870.0,5309086.0,CCOC(=O)CSCC1=C(OC(=N1)C2=CC=C(C=C2)Cl)C,Active,30.0,,,54.15,60.07,52.58,51.99,51.95,357.53,423.32,428.56,428.87,0,9.38,100,0.43,CCOC(=O)CSCC1=C(OC(=N1)C2=CC=C(C=C2)Cl)C
93,865680.0,666941.0,CC(C)(C)C1=CC=C(C=C1)C2=NOC(=N2)CCC(=O)N,Active,30.0,,,93.97,94.11,93.69,94.33,93.75,58.42,62.16,56.56,61.64,0,9.38,100,0.43,CC(C)(C)C1=CC=C(C=C1)C2=NOC(=N2)CCC(=O)N
94,17386884.0,6032129.0,CCOC(=O)COC1=C(C=C(C=C1Br)/C=C\2/C(=O)N(C(=O)S2)CC(=O)N3CCCC3)OC,Inactive,21.0,,,8.18,5.14,6.31,9.92,11.36,840.16,829.85,798.2,785.51,0,9.38,100,0.43,CCOC(=O)COC1=C(C=C(C=C1Br)/C=C\2/C(=O)N(C(=O)S2)CC(=O)N3CCCC3)OC
95,92763388.0,54683835.0,CC(C(=O)NC1C2C(C(CC(=C2C(=O)OC1(C)C(Cl)Cl)O)O)O)N,Active,30.0,,,57.48,58.8,53.39,58.15,59.57,368.69,416.23,374.41,361.92,0,9.38,100,0.43,CC(C(=O)NC1C2C(C(CC(=C2C(=O)OC1(C)C(Cl)Cl)O)O)O)N
96,24835513.0,4882879.0,C1CN(CCC1NC2=NC(=NC3=CC=CC=C32)C4=CN=CC=C4)CC5=CC=CC=C5,Inactive,21.0,,,20.61,22.6,19.97,19.99,19.89,686.74,709.83,709.7,710.56,0,9.38,100,0.43,C1CN(CCC1NC2=NC(=NC3=CC=CC=C32)C4=CN=CC=C4)CC5=CC=CC=C5
97,47203394.0,1167228.0,COC1=CC(=C(C=C1)NC2=NC=NC3=C2C=C(C=C3)Br)OC,Active,30.0,,,91.27,91.29,91.29,91.34,91.17,83.2,83.25,82.76,84.31,0,9.38,100,0.43,COC1=CC(=C(C=C1)NC2=NC=NC3=C2C=C(C=C3)Br)OC
98,99495273.0,46948520.0,C1CCC(CC1)C(C2=CSC(=N2)NC3=NN=CC4=CC=CC=C43)N,Inactive,21.0,,,-6.06,-7.56,-0.29,-6.05,-10.35,951.75,887.91,938.44,976.25,0,9.38,100,0.43,C1CCC(CC1)C(C2=CSC(=N2)NC3=NN=CC4=CC=CC=C43)N
99,87341203.0,5307346.0,CC1=C(C(=NC2=CC(=NN12)C3=CC(=CC(=C3)OC)OC)C)CCC(=O)O,Active,30.0,,,89.72,89.72,89.67,89.19,90.31,97.06,97.43,101.66,91.85,0,9.38,100,0.43,CC1=C(C(=NC2=CC(=NN12)C3=CC(=CC(=C3)OC)OC)C)CCC(=O)O
100,17510448.0,12005206.0,C1COC2=C(O1)C=CC(=C2)N3N=C(C(=NC4=CC=CC=C4)N3O)[N+](=O)[O-],Active,30.0,,,89.58,89.78,89.94,89.61,89,96.52,95.08,98.02,103.33,0,9.38,100,0.43,C1COC2=C(O1)C=CC(=C2)N3N=C(C(=NC4=CC=CC=C4)N3O)[N+](=O)[O-]
101,17388585.0,979681.0,CCOC1=C(C(=CC(=C1)CNC2=CC3=C(C=C2)OCCO3)Br)OC,Active,30.0,,,67.45,67.11,67.84,67.4,67.43,295.66,289.26,293.09,292.83,0,9.38,100,0.43,CCOC1=C(C(=CC(=C1)CNC2=CC3=C(C=C2)OCCO3)Br)OC
102,47203287.0,310860.0,C1=CC=C2C(=C1)C=C(C(=O)O2)C3=CC=C(C=C3)N,Active,30.0,,,97.76,97.98,97.96,97.43,97.69,24.43,24.66,29.3,26.99,0,9.38,100,0.43,C1=CC=C2C(=C1)C=C(C(=O)O2)C3=CC=C(C=C3)N
103,842526.0,644796.0,CC(C)C1=CC=C(C=C1)C2=NN(N=N2)CCC(=O)OC,Active,30.0,,,96.32,96.5,96.49,96.43,95.87,37.41,37.56,38.03,42.98,0,9.38,100,0.43,CC(C)C1=CC=C(C=C1)C2=NN(N=N2)CCC(=O)OC
104,49825931.0,6902142.0,C1OC2=C(O1)C=C(C=C2)C(=O)N/N=C/C3=CC=C(O3)[N+](=O)[O-],Active,30.0,,,52.42,51.53,53.35,53.05,51.73,432.59,416.56,419.24,430.78,0,9.38,100,0.43,C1OC2=C(O1)C=C(C=C2)C(=O)N/N=C/C3=CC=C(O3)[N+](=O)[O-]
105,26671321.0,9636219.0,C1=CC(=CC=C1C(=O)O)N/N=C/C2=CC3=NC=CN=C3C=C2,Active,30.0,,,95.5,95.38,95.3,95.68,95.65,47.27,48.02,44.65,44.89,0,9.38,100,0.43,C1=CC(=CC=C1C(=O)O)N/N=C/C2=CC3=NC=CN=C3C=C2
106,22412739.0,786063.0,CCOC(=O)/C(=C/C1=C(N(C2=C1C=C(C=C2)[N+](=O)[O-])C)C)/C(=O)C,Active,30.0,,,70.22,69.89,68.2,69.33,73.47,271.22,286.09,276.21,239.77,0,9.38,100,0.43,CCOC(=O)/C(=C/C1=C(N(C2=C1C=C(C=C2)[N+](=O)[O-])C)C)/C(=O)C
107,49671847.0,2823045.0,CCCS(=O)(=O)C1=CN=C(N=C1N)C2COC3=CC=CC=C3O2,Active,30.0,,,89.25,90.13,89.11,89.09,88.69,93.46,102.41,102.54,106.03,0,9.38,100,0.43,CCCS(=O)(=O)C1=CN=C(N=C1N)C2COC3=CC=CC=C3O2
108,24780603.0,5339225.0,COC1=CC(=CC(=C1OC)OC)/C=C/C2=NC(=O)NC(=C2)C(F)(F)F,Inactive,21.0,,,26.43,29.18,26.52,28.25,21.78,628.96,652.35,637.12,693.96,0,9.38,100,0.43,COC1=CC(=CC(=C1OC)OC)/C=C/C2=NC(=O)NC(=C2)C(F)(F)F
109,3714573.0,2083534.0,C1CSC(=N1)NC(=O)CCCSC2=NC3=CC=CC=C3S2,Active,30.0,,,84.87,84.48,84.95,84.98,85.08,143.06,138.9,138.71,137.78,0,9.38,100,0.43,C1CSC(=N1)NC(=O)CCCSC2=NC3=CC=CC=C3S2
110,22407232.0,2462422.0,C1=CC=C(C=C1)CCNC(=O)/C(=C/C2=CC(=CC=C2)NC(=O)C3=CC=CC=C3Cl)/C#N,Active,30.0,,,44.87,50.35,44.63,43.57,40.95,442.95,493.2,502.5,525.53,0,9.38,100,0.43,C1=CC=C(C=C1)CCNC(=O)/C(=C/C2=CC(=CC=C2)NC(=O)C3=CC=CC=C3Cl)/C#N
111,24782113.0,1090196.0,CCN1CCN(CC1)C2=C(C=C(C=C2)NC(=O)C3=CC=C(O3)[N+](=O)[O-])Cl,Active,30.0,,,49.02,53.08,46.58,47.68,48.72,418.96,476.05,466.39,457.23,0,9.38,100,0.43,CCN1CCN(CC1)C2=C(C=C(C=C2)NC(=O)C3=CC=C(O3)[N+](=O)[O-])Cl
112,22411730.0,6619702.0,CC1=C(C(=NC2=CC(=NN12)C3=CC=CC=C3)C)CCC(=O)NC(C)C4=CC5=C(C=C4)OCCO5,Active,30.0,,,78.77,78.82,79.46,78.29,78.5,192.82,187.14,197.42,195.59,0,9.38,100,0.43,CC1=C(C(=NC2=CC(=NN12)C3=CC=CC=C3)C)CCC(=O)NC(C)C4=CC5=C(C=C4)OCCO5
113,49731688.0,16437205.0,CCC1CCCCN1S(=O)(=O)C2=CC=C(C=C2)NC(=O)C3=NC(=NC=C3Cl)S(=O)(=O)C,Active,30.0,,,100.23,100.24,100.17,100.3,100.21,4.55,5.21,4.08,4.85,0,9.38,100,0.43,CCC1CCCCN1S(=O)(=O)C2=CC=C(C=C2)NC(=O)C3=NC(=NC=C3Cl)S(=O)(=O)C
114,14733379.0,9550470.0,CC1=C(C(=NC2=CC(=NN12)C3=CC(=CC(=C3)OC)OC)C)CCC(=O)NCC4=CC=CO4,Active,30.0,,,67.2,68.15,67.72,67.14,65.8,286.5,290.33,295.38,307.21,0,9.38,100,0.43,CC1=C(C(=NC2=CC(=NN12)C3=CC(=CC(=C3)OC)OC)C)CCC(=O)NCC4=CC=CO4
115,47195626.0,2775829.0,CN(C)C(=O)C1=CC(=CC2=C1C3=C(C2=O)C=C(C=C3[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],Inactive,21.0,,,-4.27,-2.38,-0.1,-9.53,-5.06,906.23,886.24,969.07,929.78,0,9.38,100,0.43,CN(C)C(=O)C1=CC(=CC2=C1C3=C(C2=O)C=C(C=C3[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
116,74373944.0,42601261.0,C[C@]1(C(=O)N(O1)C2=CC=CC=C2C(F)(F)F)C3=CC=CC=C3OC,Inactive,21.0,,,24.42,28.92,21.78,19.94,27.03,631.21,694,710.11,647.85,0,9.38,100,0.43,C[C@]1(C(=O)N(O1)C2=CC=CC=C2C(F)(F)F)C3=CC=CC=C3OC
117,92764471.0,268762.0,CC(C)(C)NCC(=CC1=CC=CC=C1)C(=O)C2=CC=CC=C2,Active,30.0,,,99.03,98.46,99.18,98.78,99.72,20.19,13.93,17.42,9.19,0,9.38,100,0.43,CC(C)(C)NCC(=CC1=CC=CC=C1)C(=O)C2=CC=CC=C2
118,85146191.0,31055126.0,CN1C(=NN=N1)SC2=NC=NC3=C2C(=CS3)C4=CC=C(C=C4)Br,Active,30.0,,,99.61,99.44,98.97,100.31,99.73,11.66,15.74,3.98,9.11,0,9.38,100,0.43,CN1C(=NN=N1)SC2=NC=NC3=C2C(=CS3)C4=CC=C(C=C4)Br
119,17433418.0,896591.0,C1=CC=C2C(=C1)C(=CN2CC3=CC=C(C=C3)Cl)/C=C/[N+](=O)[O-],Inactive,21.0,,,29.44,35.07,30.88,25.06,26.73,577.21,613.97,665.12,650.49,0,9.38,100,0.43,C1=CC=C2C(=C1)C(=CN2CC3=CC=C(C=C3)Cl)/C=C/[N+](=O)[O-]
120,85146185.0,44142131.0,CN1C(=NN=N1)SC2=NC=NC3=C2C(=CS3)C4=CC(=CC=C4)F,Active,30.0,,,53.71,55.79,60.73,48.47,49.85,395.14,351.77,459.42,447.32,0,9.38,100,0.43,CN1C(=NN=N1)SC2=NC=NC3=C2C(=CS3)C4=CC(=CC=C4)F
121,22405264.0,6293266.0,CC1=CC=C(C=C1)S(=O)(=O)NC2=CC=C(C=C2)C(=O)/C=C/C3=CC(=C(C=C3OC)OC)OC,Inactive,21.0,,,34.36,36.14,35.32,32.03,33.95,567.76,574.99,603.86,587.05,0,9.38,100,0.43,CC1=CC=C(C=C1)S(=O)(=O)NC2=CC=C(C=C2)C(=O)/C=C/C3=CC(=C(C=C3OC)OC)OC
122,22409964.0,2404975.0,CCC1=CC(=CC(=C1NC(=O)CCl)CC)SC#N,Inactive,21.0,,,34.84,36.51,35.48,34.63,32.74,564.55,573.63,581.1,597.65,0,9.38,100,0.43,CCC1=CC(=CC(=C1NC(=O)CCl)CC)SC#N
123,22401436.0,5203568.0,CC(C1=CC=CC=C1)NC(=O)CN(C2=CC=CC(=C2)C(F)(F)F)S(=O)(=O)C3=CC(=C(C=C3)Cl)[N+](=O)[O-],Inactive,21.0,,,10.32,3.45,17.3,12.89,7.64,855.04,733.29,772.06,818.2,0,9.38,100,0.43,CC(C1=CC=CC=C1)NC(=O)CN(C2=CC=CC(=C2)C(F)(F)F)S(=O)(=O)C3=CC(=C(C=C3)Cl)[N+](=O)[O-]
124,87345887.0,660289.0,C1=CSC(=C1)C2=C(C(=NC(=C2C#N)SCC3=CC=NC=C3)N)C#N,Inactive,21.0,,,29.28,30.3,31.47,23.25,32.11,619.06,608.78,681.04,603.23,0,9.38,100,0.43,C1=CSC(=C1)C2=C(C(=NC(=C2C#N)SCC3=CC=NC=C3)N)C#N
125,24837641.0,304835.0,C1=CC=C(C=C1)C(=O)C2=C(C=CC(=C2)Cl)N3C(=O)C=CC3=O,Active,30.0,,,78.42,78.69,79.38,71.65,83.95,193.92,187.88,255.81,147.73,0,9.38,100,0.43,C1=CC=C(C=C1)C(=O)C2=C(C=CC(=C2)Cl)N3C(=O)C=CC3=O
126,24832766.0,4409404.0,CC1=NC(=C(C=C1)OCC(=O)C2=C(N(C(=C2)C)CC3=CC=CO3)C)[N+](=O)[O-],Active,30.0,,,64.6,64.81,65.91,63.45,64.24,315.9,306.19,327.81,320.92,0,9.38,100,0.43,CC1=NC(=C(C=C1)OCC(=O)C2=C(N(C(=C2)C)CC3=CC=CO3)C)[N+](=O)[O-]
127,14729217.0,1472218.0,COC1=NC=C(C=C1)NC(=O)/C(=C(\S(=O)(=O)CC2=CC=CC=C2)/Cl)/Cl,Active,30.0,,,100.14,100.08,100.15,100.15,100.2,5.99,5.42,5.34,4.98,0,9.38,100,0.43,COC1=NC=C(C=C1)NC(=O)/C(=C(\S(=O)(=O)CC2=CC=CC=C2)/Cl)/Cl
128,17415884.0,1922813.0,CCC(CC)(C(=O)/C=C/C1=CC(=CC=C1)Br)C(=O)OCC,Active,30.0,,,69.36,73.1,69.31,68.79,66.21,243.03,276.32,280.91,303.55,0,9.38,100,0.43,CCC(CC)(C(=O)/C=C/C1=CC(=CC=C1)Br)C(=O)OCC
129,49665013.0,6227965.0,C=CCOC1=CC=CC=C1C(=O)/C=C/2\C3=CC=CC=C3NC2=O,Inactive,21.0,,,32.04,36.96,30.54,29.67,30.98,560.59,617.01,624.64,613.15,0,9.38,100,0.43,C=CCOC1=CC=CC=C1C(=O)/C=C/2\C3=CC=CC=C3NC2=O
130,49717140.0,5075630.0,CCC1=CC=C(C=C1)C2=NC(=C(O2)C)CS(=O)CC(=O)NCC3=CC=CO3,Inactive,21.0,,,21.92,22.69,20.1,24.33,20.55,685.97,708.72,671.56,704.78,0,9.38,100,0.43,CCC1=CC=C(C=C1)C2=NC(=C(O2)C)CS(=O)CC(=O)NCC3=CC=CO3
131,845300.0,91378.0,CN(C)CC(C1=CC=CC=C1)C(=O)C2=CC=CC=C2.Cl,Inactive,21.0,,,25.23,21.3,25.68,32.16,21.78,698.16,659.67,602.72,693.95,0,9.38,100,0.43,CN(C)CC(C1=CC=CC=C1)C(=O)C2=CC=CC=C2.Cl
132,7965283.0,1518343.0,CCOC(=O)C1=CC=C(C=C1)N=C2N(C(=O)C=C(S2)C(=O)OC)CC3=CC=CO3,Active,30.0,,,65.31,72.8,62.13,70.05,56.25,245.69,339.46,269.85,391.12,0,9.38,100,0.43,CCOC(=O)C1=CC=C(C=C1)N=C2N(C(=O)C=C(S2)C(=O)OC)CC3=CC=CO3
133,92763448.0,433350.0,CC1CCOC(=O)C=CC=CC(=O)OC2CC3C4(C2(C5(CC(C6(C(C5O3)O6)C)O)COC(=O)C1O)C)CO4,Active,30.0,,,55.92,51.53,59.44,55.42,57.27,432.54,363.09,398.36,382.16,0,9.38,100,0.43,CC1CCOC(=O)C=CC=CC(=O)OC2CC3C4(C2(C5(CC(C6(C(C5O3)O6)C)O)COC(=O)C1O)C)CO4
134,859843.0,661151.0,CCOC(=O)C1CCN(CC1)C2=NC=NC3=C2C=NN3C4=CC=C(C=C4)OC,Active,30.0,,,73.63,74.39,74.3,73.07,72.78,231.69,232.51,243.35,245.9,0,9.38,100,0.43,CCOC(=O)C1CCN(CC1)C2=NC=NC3=C2C=NN3C4=CC=C(C=C4)OC
135,51085871.0,24891917.0,CC1=CC(=C2C(=C1)N=C(S2)N(CCCN(C)C)C(=O)C3=CC=C(C=C3)S(=O)(=O)N4CCC5=CC=CC=C5C4)C.Cl,Active,30.0,,,57.48,32.93,57.11,73.11,66.75,595.96,383.56,242.96,298.86,0,9.38,100,0.43,CC1=CC(=C2C(=C1)N=C(S2)N(CCCN(C)C)C(=O)C3=CC=C(C=C3)S(=O)(=O)N4CCC5=CC=CC=C5C4)C.Cl
136,4252437.0,3245990.0,CC1=C(C(=NC2=CC(=NN12)C3=CC(=CC=C3)F)C)CCC(=O)N4CCC5(CC4)OCCO5,Active,30.0,,,82.42,80.31,85.25,82.34,81.79,179.69,136.32,161.84,166.66,0,9.38,100,0.43,CC1=C(C(=NC2=CC(=NN12)C3=CC(=CC=C3)F)C)CCC(=O)N4CCC5(CC4)OCCO5
137,51089860.0,24892559.0,CCC1=CC2=C(C=C1)N=C(S2)N(CCCN(C)C)C(=O)C3=CC=C(C=C3)S(=O)(=O)N4CCC5=CC=CC=C5C4.Cl,Inactive,21.0,,,27.01,35.99,18.91,26.03,27.11,569.1,719.19,656.66,647.12,0,9.38,100,0.43,CCC1=CC2=C(C=C1)N=C(S2)N(CCCN(C)C)C(=O)C3=CC=C(C=C3)S(=O)(=O)N4CCC5=CC=CC=C5C4.Cl
138,7975699.0,886207.0,CCNC1=NC(=C2C=C(C(=O)N(C2=N1)CC)Br)C,Inactive,21.0,,,38.78,32.97,34.9,44.88,42.39,595.63,578.69,491.03,512.9,0,9.38,100,0.43,CCNC1=NC(=C2C=C(C(=O)N(C2=N1)CC)Br)C
139,49721493.0,16436607.0,CCS(=O)(=O)C1=NC=C(C(=N1)C(=O)NC2=CC=C(C=C2)S(=O)(=O)N3CCC(CC3)C)Cl,Active,30.0,,,99.23,99.8,99.55,98.86,98.73,8.45,10.63,16.75,17.9,0,9.38,100,0.43,CCS(=O)(=O)C1=NC=C(C(=N1)C(=O)NC2=CC=C(C=C2)S(=O)(=O)N3CCC(CC3)C)Cl
140,26657921.0,6893970.0,CC1=NC(=CS1)/C(=N/O)/C(=O)N,Inactive,21.0,,,-10.83,-13.46,-11.88,-10.75,-7.24,1003.6,989.7,979.78,948.93,0,9.38,100,0.43,CC1=NC(=CS1)/C(=N/O)/C(=O)N
141,49675203.0,16241593.0,CN(C)CCN1C(=O)/C(=C/C2=CC(=C(C=C2)Cl)[N+](=O)[O-])/SC1=NC3=CC=C(C=C3)OC.Cl,Inactive,21.0,,,3.88,3.3,-4.64,11.81,5.07,856.34,926.08,781.54,840.81,0,9.38,100,0.43,CN(C)CCN1C(=O)/C(=C/C2=CC(=C(C=C2)Cl)[N+](=O)[O-])/SC1=NC3=CC=C(C=C3)OC.Cl
142,24817365.0,1123597.0,C1COC2=C(O1)C=CC(=C2)C(=O)NC3=CC=C(C=C3)NC(=O)C4=CC=CO4,Active,30.0,,,69.16,68.71,68.91,68.47,70.56,281.66,279.84,283.73,265.35,0,9.38,100,0.43,C1COC2=C(O1)C=CC(=C2)C(=O)NC3=CC=C(C=C3)NC(=O)C4=CC=CO4
143,49717003.0,4917203.0,C1=CC=NC(=C1)SCC(=O)NC2=NON=C2[N+](=O)[O-],Inactive,21.0,,,22.76,20.02,15.97,25.61,29.42,709.43,744.99,660.31,626.8,0,9.38,100,0.43,C1=CC=NC(=C1)SCC(=O)NC2=NON=C2[N+](=O)[O-]
144,24786667.0,2269538.0,CC1=CC(=C(C(=C1)C)S(=O)(=O)OC2=CC=C(C=C2)NC(=O)C)C,Active,30.0,,,55.45,54.95,52.92,56.68,57.26,402.48,420.39,387.32,382.25,0,9.38,100,0.43,CC1=CC(=C(C(=C1)C)S(=O)(=O)OC2=CC=C(C=C2)NC(=O)C)C
145,57263613.0,3916178.0,CC1=C(C=C(C=C1)NC(=O)CN2C(=O)C(=C(C=N2)Cl)Cl)S(=O)(=O)N3CCCCC3,Active,30.0,,,56.91,53.77,52.32,59.29,62.27,412.91,425.61,364.41,338.23,0,9.38,100,0.43,CC1=C(C=C(C=C1)NC(=O)CN2C(=O)C(=C(C=N2)Cl)Cl)S(=O)(=O)N3CCCCC3
146,24803834.0,1433876.0,CCOC1=CC2=CC(=C(N=C2C=C1)SCC3=CC=C(C=C3)CC(=O)O)C#N,Active,30.0,,,89.13,89.13,88.39,89.55,89.44,102.21,108.71,98.55,99.5,0,9.38,100,0.43,CCOC1=CC2=CC(=C(N=C2C=C1)SCC3=CC=C(C=C3)CC(=O)O)C#N
147,49679821.0,24762079.0,CC1=CC(=C(C=C1)C)N2CCN(CC2)C3=NC4=CC(=C(C=C4C(=N3)N)OC)OC.Cl,Inactive,21.0,,,-9.14,-9.63,-12.37,-8.16,-6.41,969.9,994.05,957.02,941.66,0,9.38,100,0.43,CC1=CC(=C(C=C1)C)N2CCN(CC2)C3=NC4=CC(=C(C=C4C(=N3)N)OC)OC.Cl
148,24793401.0,885297.0,C1=CC=C(C=C1)CCCC(=O)NC2=CC=CC(=C2)C(=O)O,Active,30.0,,,58.92,57.93,62.43,59.05,56.27,376.3,336.79,366.52,390.88,0,9.38,100,0.43,C1=CC=C(C=C1)CCCC(=O)NC2=CC=CC(=C2)C(=O)O
149,57264529.0,2701065.0,C1CCC(CC1)NC(=O)CN2C(=O)C(=C(C=N2)Cl)Cl,Inactive,21.0,,,18.87,-2.49,19.44,27.56,30.97,907.22,714.51,643.22,613.18,0,9.38,100,0.43,C1CCC(CC1)NC(=O)CN2C(=O)C(=C(C=N2)Cl)Cl
150,24801291.0,971004.0,CC1=C2CCCCC2=NC(=N1)SCC3=CC(=CC=C3)C(=O)O,Active,30.0,,,83.55,82.39,83.73,83.75,84.33,161.46,149.67,149.45,144.42,0,9.38,100,0.43,CC1=C2CCCCC2=NC(=N1)SCC3=CC(=CC=C3)C(=O)O
151,49725274.0,1991339.0,CC(C)(C)C1=CC=C(C=C1)C2=NOC(=N2)CCC(=O)NC3=CN=CC=C3,Active,30.0,,,96.4,96.3,96.32,96.59,96.4,39.19,39.02,36.62,38.35,0,9.38,100,0.43,CC(C)(C)C1=CC=C(C=C1)C2=NOC(=N2)CCC(=O)NC3=CN=CC=C3
152,50085682.0,1759638.0,CC1=C(C(=O)OC2=CC3=C(C=C12)C4=C(O3)CCCC4)CCC(=O)N5CCC(CC5)(C6=CC=CC=C6)C(=O)O,Active,30.0,,,78.48,78.91,77.19,79.37,78.45,191.96,207.14,187.92,196.08,0,9.38,100,0.43,CC1=C(C(=O)OC2=CC3=C(C=C12)C4=C(O3)CCCC4)CCC(=O)N5CCC(CC5)(C6=CC=CC=C6)C(=O)O
153,51088957.0,16806361.0,CN1CCC2=C(C1)SC(=C2C(=O)N)NC(=O)C3=CC=C(O3)[N+](=O)[O-].Cl,Active,30.0,,,55.02,53.79,53.14,55.17,57.97,412.72,418.4,400.56,375.96,0,9.38,100,0.43,CN1CCC2=C(C1)SC(=C2C(=O)N)NC(=O)C3=CC=C(O3)[N+](=O)[O-].Cl
154,125305848.0,53383178.0,COC1=CC=C(C=C1)C(C(=O)NC2CCCC2)N3C4=CC=CC=C4N=C3CSCCOC5=CC=CC=C5,Active,30.0,,,74.36,74.5,73.3,74.88,74.77,230.74,241.33,227.4,228.41,0,9.38,100,0.43,COC1=CC=C(C=C1)C(C(=O)NC2CCCC2)N3C4=CC=CC=C4N=C3CSCCOC5=CC=CC=C5
155,17406707.0,7285210.0,CCSC1=NC2=CC=CC=C2N1C(=O)/C=C\C3=CC(=C(C=C3)OC)OC,Inactive,21.0,,,31.05,43.39,35.73,38.57,6.51,504.05,571.38,546.41,828.13,0,9.38,100,0.43,CCSC1=NC2=CC=CC=C2N1C(=O)/C=C\C3=CC(=C(C=C3)OC)OC
156,17505730.0,9642058.0,C1=CC=C(C(=C1)C(=O)OC2=CC=C(C=C2)/C=N/NC3=CC=C(C=C3)C(=O)O)Cl,Active,30.0,,,84.2,82.5,83.15,86.29,84.86,160.48,154.77,127.16,139.74,0,9.38,100,0.43,C1=CC=C(C(=C1)C(=O)OC2=CC=C(C=C2)/C=N/NC3=CC=C(C=C3)C(=O)O)Cl
